Date,BidAsk,Vol,Open,High,Low,Close
2022-10-27 06:48:00,-55,4.0,11381.0,11382.25,11368.5,11370.25
2022-10-27 06:51:00,-4,10.0,11370.75,11382.25,11368.75,11376.75
2022-10-27 06:54:00,-15,4.0,11376.0,11378.5,11371.5,11375.25
2022-10-27 06:57:00,-88,7.0,11375.75,11378.25,11368.0,11372.25
2022-10-27 07:00:00,261,25.0,11371.75,11391.0,11369.5,11389.0
2022-10-27 07:03:00,-13,14.0,11389.0,11391.75,11381.25,11383.25
2022-10-27 07:06:00,11,6.0,11383.0,11384.25,11367.75,11378.75
2022-10-27 07:09:00,6,7.0,11377.75,11391.0,11377.0,11388.25
2022-10-27 07:12:00,41,6.0,11387.5,11392.75,11385.75,11389.5
2022-10-27 07:15:00,51,6.0,11389.25,11396.25,11384.75,11394.0
2022-10-27 07:18:00,122,18.0,11394.25,11404.5,11394.0,11398.5
2022-10-27 07:21:00,85,7.0,11398.5,11405.5,11396.25,11405.5
2022-10-27 07:24:00,97,4.0,11405.5,11407.5,11396.75,11403.0
2022-10-27 07:27:00,-77,7.0,11403.5,11404.75,11399.5,11401.5
2022-10-27 07:30:00,-120,6.0,11400.75,11401.5,11390.25,11392.25
2022-10-27 07:33:00,55,6.0,11391.5,11402.75,11389.25,11396.5
2022-10-27 07:36:00,-55,5.0,11396.25,11398.75,11386.75,11392.5
2022-10-27 07:39:00,8,4.0,11391.75,11399.0,11388.5,11394.0
2022-10-27 07:42:00,-8,16.0,11393.75,11395.0,11384.5,11386.5
2022-10-27 07:45:00,20,7.0,11387.0,11388.25,11380.75,11384.25
2022-10-27 07:48:00,-23,5.0,11384.75,11385.25,11375.25,11378.75
2022-10-27 07:51:00,-21,6.0,11379.0,11385.0,11375.75,11377.25
2022-10-27 07:54:00,19,5.0,11377.0,11377.0,11369.25,11372.0
2022-10-27 07:57:00,1,10.0,11371.0,11377.5,11367.5,11376.25
2022-10-27 08:00:00,-93,15.0,11376.75,11382.5,11368.25,11379.25
2022-10-27 08:03:00,-44,10.0,11378.75,11382.0,11372.5,11376.75
2022-10-27 08:06:00,-173,5.0,11377.75,11382.5,11372.5,11376.0
2022-10-27 08:09:00,-47,7.0,11376.25,11379.75,11370.75,11375.0
2022-10-27 08:12:00,33,4.0,11375.25,11378.25,11371.5,11378.25
2022-10-27 08:15:00,73,13.0,11377.25,11399.25,11355.75,11383.0
2022-10-27 08:18:00,-190,15.0,11382.0,11389.25,11357.0,11362.75
2022-10-27 08:21:00,261,31.0,11362.5,11391.25,11358.75,11389.75
2022-10-27 08:24:00,-166,14.0,11389.5,11392.25,11377.25,11383.75
2022-10-27 08:27:00,1,11.0,11383.5,11390.5,11378.5,11388.0
2022-10-27 08:30:00,504,33.0,11388.5,11459.5,11381.0,11437.5
2022-10-27 08:33:00,-48,7.0,11437.75,11441.75,11406.0,11427.5
2022-10-27 08:36:00,-447,18.0,11427.25,11430.5,11383.0,11391.75
2022-10-27 08:39:00,174,10.0,11391.5,11414.25,11385.0,11406.0
2022-10-27 08:42:00,-7,6.0,11405.5,11416.25,11394.5,11412.0
2022-10-27 08:45:00,62,20.0,11411.25,11436.75,11408.25,11409.5
2022-10-27 08:48:00,-109,16.0,11410.0,11411.25,11386.0,11398.5
2022-10-27 08:51:00,122,19.0,11399.5,11419.5,11396.5,11408.25
2022-10-27 08:54:00,128,20.0,11408.0,11423.25,11403.5,11418.75
2022-10-27 08:57:00,318,29.0,11418.0,11444.5,11416.0,11437.0
2022-10-27 09:00:00,-91,13.0,11437.0,11445.0,11419.0,11420.0
2022-10-27 09:03:00,234,11.0,11420.0,11441.75,11417.25,11440.25
2022-10-27 09:06:00,-14,9.0,11441.75,11446.5,11424.0,11425.0
2022-10-27 09:09:00,127,14.0,11425.25,11441.0,11420.0,11422.75
2022-10-27 09:12:00,236,5.0,11423.5,11425.25,11410.5,11417.75
2022-10-27 09:15:00,493,11.0,11417.75,11445.5,11413.25,11433.25
2022-10-27 09:18:00,211,12.0,11433.5,11437.5,11415.0,11429.25
2022-10-27 09:21:00,30,16.0,11429.25,11431.0,11412.5,11417.75
2022-10-27 09:24:00,84,19.0,11417.5,11425.0,11407.5,11419.5
2022-10-27 09:27:00,77,62.0,11419.75,11423.5,11400.5,11400.75
2022-10-27 09:30:00,-161,30.0,11401.0,11464.0,11400.5,11443.0
2022-10-27 09:33:00,-450,92.0,11444.0,11460.25,11412.0,11422.75
2022-10-27 09:36:00,-50,21.0,11422.25,11429.0,11391.0,11405.25
2022-10-27 09:39:00,-285,15.0,11405.0,11407.75,11367.5,11390.5
2022-10-27 09:42:00,395,20.0,11390.0,11409.0,11370.5,11406.25
2022-10-27 09:45:00,-306,20.0,11406.25,11411.5,11374.0,11377.5
2022-10-27 09:48:00,-1706,48.0,11377.0,11378.25,11297.25,11297.75
2022-10-27 09:51:00,333,22.0,11297.5,11302.75,11274.25,11290.0
2022-10-27 09:54:00,-122,46.0,11289.5,11293.0,11263.75,11267.25
2022-10-27 09:57:00,325,33.0,11266.75,11294.75,11265.25,11291.75
2022-10-27 10:00:00,-44,50.0,11292.0,11300.5,11275.5,11289.5
2022-10-27 10:03:00,1116,22.0,11289.5,11352.25,11283.5,11339.75
2022-10-27 10:06:00,343,23.0,11339.25,11349.75,11327.25,11339.75
2022-10-27 10:09:00,-73,26.0,11339.5,11358.5,11330.75,11340.5
2022-10-27 10:12:00,1661,25.0,11340.5,11415.0,11339.0,11402.5
2022-10-27 10:15:00,257,45.0,11402.25,11427.75,11397.0,11409.5
2022-10-27 10:18:00,481,32.0,11409.25,11434.25,11404.0,11433.0
2022-10-27 10:21:00,-380,12.0,11432.5,11437.75,11407.0,11409.25
2022-10-27 10:24:00,433,22.0,11409.25,11447.0,11407.0,11425.25
2022-10-27 10:27:00,176,9.0,11426.25,11436.25,11415.0,11432.0
2022-10-27 10:30:00,174,33.0,11431.75,11453.0,11413.75,11441.5
2022-10-27 10:33:00,-591,25.0,11440.75,11442.5,11411.25,11411.75
2022-10-27 10:36:00,-121,29.0,11411.5,11417.5,11376.25,11389.0
2022-10-27 10:39:00,-955,24.0,11389.5,11390.0,11359.75,11363.25
2022-10-27 10:42:00,-343,20.0,11363.25,11369.0,11341.25,11351.75
2022-10-27 10:45:00,223,20.0,11351.25,11372.5,11344.25,11370.25
2022-10-27 10:48:00,-51,19.0,11370.0,11372.25,11351.25,11365.5
2022-10-27 10:51:00,522,19.0,11366.0,11388.75,11360.0,11386.5
2022-10-27 10:54:00,-337,13.0,11386.0,11388.25,11357.0,11364.5
2022-10-27 10:57:00,-319,24.0,11364.25,11370.5,11318.75,11320.25
2022-10-27 11:00:00,333,21.0,11320.5,11352.5,11312.0,11337.0
2022-10-27 11:03:00,102,22.0,11337.5,11350.0,11329.5,11345.5
2022-10-27 11:06:00,61,10.0,11345.75,11356.25,11332.25,11355.25
2022-10-27 11:09:00,275,31.0,11355.5,11380.25,11350.25,11351.25
2022-10-27 11:12:00,132,24.0,11351.75,11367.25,11345.75,11347.75
2022-10-27 11:15:00,-249,20.0,11347.75,11353.5,11325.0,11327.25
2022-10-27 11:18:00,169,27.0,11328.0,11333.5,11316.0,11332.5
2022-10-27 11:21:00,152,23.0,11332.0,11354.5,11327.75,11343.75
2022-10-27 11:24:00,-85,22.0,11344.5,11351.25,11327.25,11330.5
2022-10-27 11:27:00,237,16.0,11330.75,11341.25,11319.0,11334.0
2022-10-27 11:30:00,157,46.0,11333.0,11345.75,11314.0,11341.75
2022-10-27 11:33:00,580,19.0,11342.5,11367.0,11339.5,11355.75
2022-10-27 11:36:00,-960,31.0,11356.0,11361.25,11301.5,11305.25
2022-10-27 11:39:00,237,18.0,11304.75,11318.75,11301.0,11309.0
2022-10-27 11:42:00,-240,28.0,11308.0,11315.5,11291.0,11300.75
2022-10-27 11:45:00,128,17.0,11301.0,11312.25,11290.25,11310.25
2022-10-27 11:48:00,-152,21.0,11310.5,11314.5,11297.5,11298.0
2022-10-27 11:51:00,40,20.0,11298.5,11305.75,11291.5,11302.25
2022-10-27 11:54:00,-181,35.0,11302.5,11304.75,11284.25,11294.75
2022-10-27 11:57:00,176,26.0,11295.25,11303.25,11285.0,11290.5
2022-10-27 12:00:00,262,22.0,11291.25,11311.5,11281.25,11307.5
2022-10-27 12:03:00,31,20.0,11307.75,11319.25,11305.75,11318.75
2022-10-27 12:06:00,19,49.0,11318.75,11329.75,11312.0,11316.75
2022-10-27 12:09:00,-257,15.0,11316.5,11316.75,11296.75,11306.0
2022-10-27 12:12:00,169,29.0,11306.5,11314.25,11301.0,11309.25
2022-10-27 12:15:00,-80,24.0,11308.5,11322.75,11303.25,11309.25
2022-10-27 12:18:00,-324,24.0,11309.5,11317.75,11287.5,11291.25
2022-10-27 12:21:00,-444,37.0,11291.0,11291.0,11274.25,11280.5
2022-10-27 12:24:00,46,24.0,11280.0,11291.25,11273.5,11281.75
2022-10-27 12:27:00,-1202,24.0,11282.5,11282.5,11249.5,11249.5
2022-10-27 12:30:00,92,23.0,11249.5,11274.0,11247.5,11270.75
2022-10-27 12:33:00,155,19.0,11270.75,11283.5,11270.5,11273.5
2022-10-27 12:36:00,310,17.0,11273.25,11284.25,11271.5,11278.75
2022-10-27 12:39:00,169,10.0,11279.25,11288.0,11275.0,11283.25
2022-10-27 12:42:00,-185,10.0,11283.25,11289.75,11272.75,11276.5
2022-10-27 12:45:00,376,30.0,11275.25,11289.25,11268.5,11284.5
2022-10-27 12:48:00,359,20.0,11284.5,11303.0,11281.75,11296.0
2022-10-27 12:51:00,31,19.0,11296.5,11299.25,11283.0,11288.5
2022-10-27 12:54:00,12,29.0,11288.75,11293.25,11280.0,11281.75
2022-10-27 12:57:00,173,33.0,11282.0,11294.75,11281.5,11288.75
2022-10-27 13:00:00,-509,35.0,11289.0,11294.75,11267.75,11279.5
2022-10-27 13:03:00,274,28.0,11279.75,11288.5,11269.0,11286.5
2022-10-27 13:06:00,831,15.0,11286.75,11318.0,11286.75,11312.0
2022-10-27 13:09:00,-32,15.0,11311.75,11326.25,11311.25,11318.0
2022-10-27 13:12:00,-214,10.0,11318.5,11328.75,11312.5,11317.25
2022-10-27 13:15:00,-582,25.0,11316.75,11325.75,11296.5,11318.75
2022-10-27 13:18:00,193,10.0,11318.25,11327.25,11310.25,11323.25
2022-10-27 13:21:00,-174,12.0,11323.25,11337.5,11313.0,11314.5
2022-10-27 13:24:00,-201,6.0,11314.25,11319.25,11302.75,11306.5
2022-10-27 13:27:00,-150,14.0,11306.25,11306.5,11290.0,11291.75
2022-10-27 13:30:00,-146,16.0,11291.75,11297.25,11285.0,11287.25
2022-10-27 13:33:00,-86,17.0,11287.5,11291.5,11277.0,11280.25
2022-10-27 13:36:00,30,10.0,11280.25,11288.25,11276.25,11283.75
2022-10-27 13:39:00,-92,15.0,11283.75,11290.25,11272.25,11287.25
2022-10-27 13:42:00,-80,12.0,11286.75,11294.25,11281.5,11285.0
2022-10-27 13:45:00,15,9.0,11284.5,11292.25,11272.75,11276.75
2022-10-27 13:48:00,35,11.0,11277.25,11279.0,11272.25,11275.5
2022-10-27 13:51:00,-104,20.0,11275.5,11276.75,11270.0,11272.0
2022-10-27 13:54:00,190,11.0,11272.5,11279.25,11269.75,11275.5
2022-10-27 13:57:00,-468,7.0,11275.5,11275.75,11261.25,11263.5
2022-10-27 14:00:00,167,24.0,11263.75,11273.75,11261.0,11262.75
2022-10-27 14:03:00,-11,24.0,11262.75,11267.5,11257.25,11260.5
2022-10-27 14:06:00,-60,13.0,11260.5,11268.5,11255.75,11256.25
2022-10-27 14:09:00,-835,27.0,11256.5,11258.0,11232.0,11232.75
2022-10-27 14:12:00,523,17.0,11232.5,11244.75,11229.75,11240.5
2022-10-27 14:15:00,-42,17.0,11241.0,11242.75,11233.5,11237.25
2022-10-27 14:18:00,393,20.0,11237.0,11249.0,11236.75,11240.5
2022-10-27 14:21:00,153,7.0,11240.5,11251.0,11240.25,11249.5
2022-10-27 14:24:00,76,11.0,11249.5,11258.25,11247.5,11257.75
2022-10-27 14:27:00,-217,5.0,11257.5,11260.5,11251.5,11252.5
2022-10-27 14:30:00,-92,32.0,11252.75,11255.5,11241.75,11250.75
2022-10-27 14:33:00,215,5.0,11251.0,11260.0,11249.5,11250.0
2022-10-27 14:36:00,-2,20.0,11250.5,11257.75,11245.5,11252.5
2022-10-27 14:39:00,270,10.0,11252.5,11261.25,11243.75,11260.75
