Date,Close,High,P_H,Low,P_L,Signal,asset1_returns,strategy_returns
2022-09-19 11:36:02,3877.75,3878.0,3878.037253626755,3877.75,3877.910835150601,-1,-6.446621970090938e-05,6.446621970090938e-05
2022-09-19 11:36:04,3878.25,3878.25,3878.05040802509,3878.0,3877.9057262142633,-1,0.0001289407517246488,-0.0001289407517246488
2022-09-19 11:36:06,3878.5,3878.5,3878.3511236648815,3878.25,3878.134822782621,-1,6.446206407528798e-05,-6.446206407528798e-05
2022-09-19 11:36:08,3879.0,3879.0,3878.8322920756673,3878.75,3878.643854949573,-1,0.00012891581797092044,-0.00012891581797092044
2022-09-19 11:36:10,3878.75,3878.75,3878.8291390246495,3878.75,3878.6582082702953,-1,-6.444960041251946e-05,6.444960041251946e-05
2022-09-19 11:36:12,3878.5,3878.75,3878.798665519364,3878.5,3878.655466349133,-1,-6.445375443120405e-05,6.445375443120405e-05
2022-09-19 11:36:14,3879.25,3879.25,3878.789498883196,3878.75,3878.649696791547,1,0.00019337372695638066,-0.00019337372695638066
2022-09-19 11:36:16,3879.5,3879.5,3879.5834756256986,3879.5,3879.3782089872047,1,6.444544692918441e-05,6.444544692918441e-05
2022-09-19 11:36:18,3879.5,3879.5,3879.587526695193,3879.5,3879.4074551851368,1,0.0,0.0
2022-09-19 11:36:20,3880.0,3880.0,3879.794948068015,3879.75,3879.661965315668,1,0.00012888258796239782,0.00012888258796239782
2022-09-19 11:36:22,3879.75,3879.75,3879.8225295748593,3879.75,3879.653767958116,1,-6.443298969072142e-05,-6.443298969072142e-05
2022-09-19 11:36:24,3879.25,3879.25,3879.322768379454,3879.25,3879.1526927713862,1,-0.00012887428313679283,-0.00012887428313679283
2022-09-19 11:36:26,3878.75,3879.25,3879.289522988294,3878.75,3879.141905015336,0,-0.00012889089385836883,-0.00012889089385836883
2022-09-19 11:36:28,3878.75,3878.75,3878.7980996458,3878.75,3878.66709394807,-1,0.0,0.0
2022-09-19 11:36:30,3878.75,3878.75,3878.825772032864,3878.75,3878.650061438068,-1,0.0,-0.0
2022-09-19 11:36:32,3878.75,3878.75,3878.833930183653,3878.75,3878.6439578617424,0,0.0,-0.0
2022-09-19 11:36:34,3878.25,3878.5,3878.578841377501,3878.25,3878.3978742194217,-1,-0.0001289075088624081,-0.0
2022-09-19 11:36:36,3878.25,3878.25,3878.302094627623,3878.25,3878.152170596208,-1,0.0,-0.0
2022-09-19 11:36:38,3878.25,3878.25,3878.3127391544335,3878.25,3878.149652871565,-1,0.0,-0.0
2022-09-19 11:36:40,3878.25,3878.25,3878.326714297866,3878.25,3878.1502824228337,-1,0.0,-0.0
2022-09-19 11:36:42,3878.25,3878.25,3878.3210094181054,3878.25,3878.151647380551,1,0.0,-0.0
